feature,importance,importance_norm
average_ambient,4.267748180732725,0.3822572995989799
average_object,2.7515631186386833,0.24645434614803993
average_light,1.2568736457827399,0.11257672792014341
average_temperature,1.0295970859399346,0.09221982766537234
n_devices,0.7927676701662104,0.07100728908402501
average_humidity,0.7115987591582144,0.06373708301296778
average_distance,0.2349397419206364,0.021043282666140063
average_loudness,0.10720243747136317,0.00960199911588883
average_gas,0.012305000900480045,0.0011021447884427308
average_visible,0.0,0.0
average_uv,0.0,0.0
average_ir,0.0,0.0
