feature,importance,importance_norm
average_ambient,3.5104101764163866,0.324345232718893
average_object,2.2382719867519087,0.20680570416199584
average_distance,2.099976983840878,0.1940279025237756
average_humidity,0.7162773768042844,0.06618062870021349
average_gas,0.6398835403636571,0.0591222009343964
n_devices,0.5187450389313268,0.04792957857298417
average_light,0.4944757661353359,0.04568721299820972
average_temperature,0.49200580261261073,0.04545900009620541
average_loudness,0.11302030215036789,0.010442539293326314
motion?,0.0,0.0
average_visible,0.0,0.0
average_uv,0.0,0.0
average_ir,0.0,0.0
