feature,importance,importance_norm
iso_year,2.1655353308472876,0.18598247796038214
average_light,2.113520349117073,0.18151527991680907
iso_week,2.022778127287807,0.17372207376078927
average_object,1.888363704591691,0.16217817186709127
average_ambient,1.7576422623242873,0.15095143388266202
average_distance,0.6382334619746128,0.05481334757481383
average_loudness,0.567386212325373,0.04872877954271986
n_devices,0.22512710904941727,0.019334571457065932
average_humidity,0.169234566971311,0.014534357243463622
average_gas,0.06125091460244291,0.005260406843902663
average_temperature,0.034687924729526295,0.0029790999503002172
average_visible,0.0,0.0
average_uv,0.0,0.0
average_ir,0.0,0.0
