feature,importance,importance_norm
average_object,2.2208149991083683,0.2895450872371536
average_ambient,2.0335318772683872,0.2651275162674982
average_light,1.9208862388647945,0.25044101999853924
n_devices,0.4824682057142718,0.06290316787700834
average_loudness,0.38395381845488213,0.05005907376534801
average_distance,0.3172765154113899,0.041365830278512206
average_gas,0.14626149240051634,0.019069259075405444
average_humidity,0.12326265689006843,0.016070720324136572
average_temperature,0.041558632324284375,0.005418325176398242
motion?,0.0,0.0
average_visible,0.0,0.0
average_uv,0.0,0.0
average_ir,0.0,0.0
