start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
2,2,1,True,0.0,1.0,fully_detected
13,13,1,True,0.0,1.0,fully_detected
62,62,1,True,0.0,1.0,fully_detected
106,106,1,True,0.0,1.0,fully_detected
133,133,1,True,0.0,1.0,fully_detected
145,145,1,True,0.0,1.0,fully_detected
165,165,1,True,0.0,1.0,fully_detected
171,171,1,True,0.0,1.0,fully_detected
180,180,1,False,,0.0,missed
186,186,1,True,0.0,1.0,fully_detected
208,208,1,False,,0.0,missed
216,216,1,True,0.0,1.0,fully_detected
219,219,1,True,0.0,1.0,fully_detected
256,256,1,True,0.0,1.0,fully_detected
301,301,1,True,0.0,1.0,fully_detected
366,366,1,True,0.0,1.0,fully_detected
381,381,1,True,0.0,1.0,fully_detected
383,383,1,True,0.0,1.0,fully_detected
392,392,1,True,0.0,1.0,fully_detected
436,436,1,True,0.0,1.0,fully_detected
442,442,1,True,0.0,1.0,fully_detected
487,487,1,False,,0.0,missed
493,493,1,True,0.0,1.0,fully_detected
504,504,1,True,0.0,1.0,fully_detected
507,507,1,True,0.0,1.0,fully_detected
509,509,1,False,,0.0,missed
515,515,1,False,,0.0,missed
520,520,1,False,,0.0,missed
583,583,1,True,0.0,1.0,fully_detected
602,602,1,True,0.0,1.0,fully_detected
662,662,1,True,0.0,1.0,fully_detected
672,674,3,True,2.0,0.3333333333333333,delayed
