,FN_mean,TP_mean,difference
average_light,109.34166666666665,159.10666666666668,-49.76500000000003
average_humidity,78.85016835016835,70.92702473452474,7.92314361564361
average_ambient,29.318617417727356,27.245567979589527,2.0730494381378293
average_temperature,28.181818181818183,26.304819563152893,1.87699861866529
average_object,27.62937300768264,26.306388569735912,1.3229844379467295
y_pred,0.0,1.0,-1.0
y_prob,0.09929004028515227,0.7916005759834268,-0.6923105356982745
average_loudness,2.0083333333333333,2.2022222222222223,-0.193888888888889
average_gas,282.39166666666665,282.45333333333326,-0.06166666666661058
average_distance,7.402725603388645,7.449106419982043,-0.04638081659339832
y_true,1.0,1.0,0.0
