start_index,end_index,duration_slots,detected,delay_slots,coverage_ratio,status
0,1,2,True,0.0,1.0,fully_detected
3,4,2,True,0.0,1.0,fully_detected
9,9,1,True,0.0,1.0,fully_detected
16,19,4,True,0.0,1.0,fully_detected
27,28,2,True,0.0,1.0,fully_detected
33,34,2,True,0.0,1.0,fully_detected
54,59,6,True,0.0,0.5,partial
62,62,1,False,,0.0,missed
70,70,1,False,,0.0,missed
72,72,1,True,0.0,1.0,fully_detected
75,76,2,False,,0.0,missed
156,156,1,True,0.0,1.0,fully_detected
205,209,5,True,0.0,1.0,fully_detected
292,292,1,True,0.0,1.0,fully_detected
503,504,2,True,1.0,0.5,delayed
788,790,3,True,0.0,1.0,fully_detected
828,831,4,True,0.0,1.0,fully_detected
840,843,4,True,0.0,0.75,partial
858,859,2,True,0.0,1.0,fully_detected
865,865,1,True,0.0,1.0,fully_detected
867,872,6,True,0.0,1.0,fully_detected
