,FN_mean,TP_mean,difference
average_humidity,78.92174556213018,18.831336978433754,60.09040858369643
average_light,72.59230769230768,105.67790322580645,-33.08559553349876
average_gas,280.29230769230765,254.73774193548385,25.55456575682379
average_temperature,28.2138067061144,6.867247179343955,21.346559526770445
average_distance,7.904912279452024,3.074662677593251,4.830249601858773
average_ambient,29.337416898203305,26.298379356872722,3.0390375413305826
average_object,27.31226281389751,25.375240460022713,1.9370223538747986
y_pred,0.0,1.0,-1.0
y_prob,1.2969238833953019e-11,1.0,-0.9999999999870307
average_loudness,1.946153846153846,2.039838709677419,-0.09368486352357319
y_true,1.0,1.0,0.0
