timestamp,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,ocupada
2026-05-18 00:00:00,217.8,61.3,1.95,0.0,0.0,27.775882352941203,29.42294117647061,0
2026-05-18 00:10:00,218.05,61.8,1.95,0.0,0.0,27.7826315789474,29.41736842105265,0
2026-05-18 00:20:00,217.95,62.05,1.95,0.0,0.0,27.74777777777781,29.423333333333357,0
2026-05-18 00:30:00,218.15,61.45,1.8,0.0,0.0,27.8088235294118,29.44764705882356,0
2026-05-18 00:40:00,218.05,61.5,1.85,0.0,0.0,27.76333333333336,29.425555555555576,0
2026-05-18 00:50:00,218.5,61.7,1.9,0.0,0.0,27.772352941176496,29.42058823529414,0
2026-05-18 01:00:00,218.85,62.0,2.0,0.0,0.0,27.768823529411797,29.44411764705885,0
2026-05-18 01:10:00,219.0,61.95,1.95,0.0,0.0,27.779411764705905,29.453529411764745,0
2026-05-18 01:20:00,219.0,61.45,1.9,0.0,0.0,27.7723529411765,29.42058823529414,0
2026-05-18 01:30:00,218.9,61.3,1.95,0.0,0.0,27.853333333333357,29.43000000000001,0
2026-05-18 01:40:00,219.15,61.45,1.85,0.0,0.0,27.805555555555586,29.453333333333365,0
2026-05-18 01:50:00,219.3,61.5,1.8,0.0,0.0,27.775555555555577,29.44222222222225,0
2026-05-18 10:00:00,220.55,62.8,1.9,0.0,0.0,27.79700000000002,29.26600000000003,0
2026-05-18 10:10:00,216.65,68.25,2.0,0.0,0.0,27.28333333333336,28.507777777777804,1
2026-05-18 10:20:00,219.25,67.85,1.9,0.0,0.0,26.524000000000022,26.99900000000003,1
2026-05-18 10:30:00,220.65,68.4,1.9,0.0,0.0,26.006000000000014,26.60300000000003,1
2026-05-18 10:40:00,217.0,69.15,1.8,0.0,0.0,25.804444444444467,26.513333333333364,1
2026-05-18 10:50:00,225.35,69.5,2.0,0.0,0.0,25.396000000000026,25.14400000000004,1
2026-05-18 11:00:00,256.85,69.95,1.85,0.0,0.0,25.87555555555557,27.270000000000035,1
2026-05-18 11:10:00,256.1,70.0,2.0,0.0,0.0,25.54500000000002,25.471000000000025,1
2026-05-18 11:20:00,254.15,67.75,1.95,0.0,0.0,25.244117647058857,25.25941176470591,1
2026-05-18 11:30:00,264.15,71.8,1.8,0.0,0.0,25.5394117647059,26.45588235294121,1
2026-05-18 11:40:00,263.2,72.6,1.8,0.0,0.0,25.171000000000035,25.136000000000035,1
2026-05-18 11:50:00,280.15,72.15,1.9,0.0,0.0,25.68400000000004,27.030000000000022,1
2026-05-18 12:00:00,273.5,75.15,2.0,0.0,0.0,25.785294117647084,27.122941176470626,1
2026-05-18 12:10:00,263.8,82.1,1.85,0.0,0.0,25.89666666666668,27.28666666666669,1
2026-05-18 12:20:00,281.5,80.5,1.95,0.0,0.0,26.04764705882355,27.224117647058865,1
2026-05-18 12:30:00,305.05,79.35,2.0,0.0,0.0,26.217692307692328,27.19769230769235,1
