camera,week,file,train_samples,test_samples,accuracy,precision_ocupado,recall_ocupado,f1_ocupado,precision_ausencia,recall_ausencia,f1_ausencia,display_precision_ocupado,display_recall_ocupado,display_f1_ocupado,display_precision_ausencia,display_recall_ausencia,display_f1_ausencia
camera_alpha,2025-W51,week_2025_51.csv,371,93,0.9354838709677419,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.9871794871794872,0.9390243902439024,0.9625,0.6667,0.9091,0.7692,0.9872,0.9390,0.9625
camera_alpha,2026-W01,week_2026_01.csv,227,57,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_alpha,2026-W02,week_2026_02.csv,408,102,0.9803921568627451,1.0,0.3333333333333333,0.5,0.9801980198019802,1.0,0.99,1.0000,0.3333,0.5000,0.9802,1.0000,0.9900
camera_alpha,2026-W03,week_2026_03.csv,482,121,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_alpha,2026-W04,week_2026_04.csv,497,125,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_alpha,2026-W05,week_2026_05.csv,83,21,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_beta,2025-W51,week_2025_51.csv,371,93,0.8709677419354839,0.7916666666666666,0.7307692307692307,0.76,0.8985507246376812,0.9253731343283582,0.9117647058823529,0.7917,0.7308,0.7600,0.8986,0.9254,0.9118
camera_beta,2026-W01,week_2026_01.csv,228,57,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_beta,2026-W02,week_2026_02.csv,409,103,0.9902912621359223,1.0,0.6666666666666666,0.8,0.9900990099009901,1.0,0.9950248756218906,1.0000,0.6667,0.8000,0.9901,1.0000,0.9950
camera_beta,2026-W03,week_2026_03.csv,481,121,0.9917355371900827,,0.0,0.0,0.9917355371900827,1.0,0.995850622406639,◯,◯,◯,0.9917,1.0000,0.9959
camera_beta,2026-W04,week_2026_04.csv,500,126,0.9920634920634921,,0.0,0.0,0.9920634920634921,1.0,0.9960159362549801,◯,◯,◯,0.9921,1.0000,0.9960
camera_beta,2026-W05,week_2026_05.csv,28,8,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
