camera,week,file,train_samples,test_samples,accuracy,precision_occupied,recall_occupied,f1_occupied,precision_absence,recall_absence,f1_absence,display_precision_occupied,display_recall_occupied,display_f1_occupied,display_precision_absence,display_recall_absence,display_f1_absence
camera_alpha,2025-W51,week_2025_51.csv,371,93,0.8172043010752689,0.38461538461538464,0.9090909090909091,0.5405405405405406,0.9850746268656716,0.8048780487804879,0.8859060402684564,0.3846,0.9091,0.5405,0.9851,0.8049,0.8859
camera_alpha,2026-W01,week_2026_01.csv,227,57,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_alpha,2026-W02,week_2026_02.csv,408,102,0.9705882352941176,,0.0,0.0,0.9705882352941176,1.0,0.9850746268656716,◯,◯,◯,0.9706,1.0000,0.9851
camera_alpha,2026-W03,week_2026_03.csv,482,121,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_alpha,2026-W04,week_2026_04.csv,497,125,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_alpha,2026-W05,week_2026_05.csv,83,21,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_beta,2025-W51,week_2025_51.csv,371,93,0.7741935483870968,0.6923076923076923,0.34615384615384615,0.46153846153846156,0.7875,0.9402985074626866,0.8571428571428571,0.6923,0.3462,0.4615,0.7875,0.9403,0.8571
camera_beta,2026-W01,week_2026_01.csv,228,57,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
camera_beta,2026-W02,week_2026_02.csv,409,103,0.970873786407767,,0.0,0.0,0.970873786407767,1.0,0.9852216748768473,◯,◯,◯,0.9709,1.0000,0.9852
camera_beta,2026-W03,week_2026_03.csv,481,121,0.9917355371900827,,0.0,0.0,0.9917355371900827,1.0,0.995850622406639,◯,◯,◯,0.9917,1.0000,0.9959
camera_beta,2026-W04,week_2026_04.csv,500,126,0.9920634920634921,,0.0,0.0,0.9920634920634921,1.0,0.9960159362549801,◯,◯,◯,0.9921,1.0000,0.9960
camera_beta,2026-W05,week_2026_05.csv,28,8,1.0,,,,1.0,1.0,1.0,◯,◯,◯,1.0000,1.0000,1.0000
